Name,Address,Source,SourceFile,image-wrapper href,photo src,place-name,address,city,material-icons,material-icons 2,info,material-icons 3,description,program-link href,program,badge 3,btn href,city 2,details,neighborhood,badge
,1757 Jefferson Ave SW,Winnie,winnie (3).csv,https://winnie.com/place/new-hope-child-development-center-birmingham,https://winnie-static.imgix.net/default/daycare_16.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,New Hope Child Development Center,1757 Jefferson Ave SW,"Birmingham, AL",maps_home_work,,,,"New Hope Child Development Center is a licensed child care center offering daycare programs located at 1757 Jefferson Ave SW in West End Manor in Birmingham, AL. Contact this provider to inquire about...",https://winnie.com/place/new-hope-child-development-center-birmingham#daycare-program,,,https://winnie.com/place/new-hope-child-development-center-birmingham#contact_form,,,West End Manor,6 w - 8 mo
,324 59th St,Winnie,winnie (3).csv,https://winnie.com/place/first-baptist-church-day-care-center-fairfield,https://winnie-static.imgix.net/default/daycare_29.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,First Baptist Church Day Care Center,324 59th St,"Fairfield, AL",location_on,,,,"First Baptist Church Day Care Center is a licensed child care center offering daycare programs located at 324 59th St in Fairfield, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/first-baptist-church-day-care-center-fairfield#daycare-program,,,https://winnie.com/place/first-baptist-church-day-care-center-fairfield#contact_form,Fairfield,,,12 mo - 14 yr
,711 Gene Reed Rd,Winnie,winnie (3).csv,https://winnie.com/place/the-childrens-place-birmingham,https://winnie-static.imgix.net/default/daycare_33.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,The Children's Place,711 Gene Reed Rd,"Birmingham, AL",maps_home_work,,,,"The Children's Place is a licensed child care center offering daycare programs located at 711 Gene Reed Rd in Huffman in Birmingham, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/the-childrens-place-birmingham#daycare-program,,,https://winnie.com/place/the-childrens-place-birmingham#contact_form,,,Huffman,6 w - 11 yr
,1400 Brisbane Ave,Winnie,winnie (3).csv,https://winnie.com/place/glad-tidings-day-care-birmingham,https://winnie-static.imgix.net/default/daycare_42.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Glad Tidings Day Care,1400 Brisbane Ave,"Birmingham, AL",location_on,,,,"Glad Tidings Day Care is a licensed child care center offering daycare programs located at 1400 Brisbane Ave in Birmingham, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/glad-tidings-day-care-birmingham#daycare-program,,,https://winnie.com/place/glad-tidings-day-care-birmingham#contact_form,Birmingham,,,24 mo - 14 yr
,5225 Valley Rd,Winnie,winnie (3).csv,https://winnie.com/place/spiritual-growth-ii-fairfield,https://winnie-static.imgix.net/default/daycare_35.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Spiritual Growth Ii,5225 Valley Rd,"Fairfield, AL",location_on,,,,"Spiritual Growth Ii is a licensed child care center offering daycare programs located at 5225 Valley Rd in Fairfield, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/spiritual-growth-ii-fairfield#daycare-program,,,https://winnie.com/place/spiritual-growth-ii-fairfield#contact_form,Fairfield,,,6 w - 12 yr
,5509 Timber Hill Rd,Winnie,winnie (3).csv,https://winnie.com/place/joseph-bruno-montessori-diocese-of-bham-birmingham,https://winnie-static.imgix.net/default/daycare_59.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Joseph Bruno Montessori Diocese Of B'Ham,5509 Timber Hill Rd,"Birmingham, AL",location_on,,,,"Joseph Bruno Montessori Diocese Of B'Ham is a license exempt child care center offering daycare programs located at 5509 Timber Hill Rd in Birmingham, AL. Contact this provider to inquire about prices...",https://winnie.com/place/joseph-bruno-montessori-diocese-of-bham-birmingham#daycare-program,,,https://winnie.com/place/joseph-bruno-montessori-diocese-of-bham-birmingham#contact_form,Birmingham,,,18 mo - 6 yr
,504 Broad St,Winnie,winnie (3).csv,https://winnie.com/place/judys-child-care-learning-inc-fultondale,https://winnie-static.imgix.net/default/daycare_19.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Judy's Child Care & Learning Inc,504 Broad St,"Fultondale, AL",location_on,,,,"Judy's Child Care & Learning Inc is a licensed child care center offering daycare programs located at 504 Broad St in Fultondale, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/judys-child-care-learning-inc-fultondale#daycare-program,,,https://winnie.com/place/judys-child-care-learning-inc-fultondale#contact_form,Fultondale,,,1 mo - 12 yr
,3102 Allison-Bonnett Memorial Dr,Winnie,winnie (3).csv,https://winnie.com/place/mrs-deannas-kindergarten-daycare-bessemer,https://winnie-static.imgix.net/default/daycare_27.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Mrs. Deanna's Kindergarten & Daycare,3102 Allison-Bonnett Memorial Dr,"Bessemer, AL",location_on,,,,"Mrs. Deanna's Kindergarten & Daycare is a licensed child care center offering daycare programs located at 3102 Allison-Bonnett Memorial Dr in Bessemer, AL. Contact this provider to inquire about...",https://winnie.com/place/mrs-deannas-kindergarten-daycare-bessemer#daycare-program,,,https://winnie.com/place/mrs-deannas-kindergarten-daycare-bessemer#contact_form,Bessemer,,,6 w - 12 yr
,310 6th St S,Winnie,winnie (3).csv,https://winnie.com/place/abc-123-magicland-llc-bessemer,https://winnie-static.imgix.net/default/daycare_30.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,"Abc 123 Magicland, Llc",310 6th St S,"Bessemer, AL",location_on,,,,"Abc 123 Magicland, Llc is a licensed child care center offering daycare programs located at 310 6th St S in Bessemer, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/abc-123-magicland-llc-bessemer#daycare-program,,,https://winnie.com/place/abc-123-magicland-llc-bessemer#contact_form,Bessemer,,,6 w - 14 yr
,816 Earline St,Winnie,winnie (3).csv,https://winnie.com/place/eternal-life-international-ministries-birmingham,https://winnie-static.imgix.net/default/daycare_41.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Eternal Life International Ministries,816 Earline St,"Birmingham, AL",location_on,,,,"Eternal Life International Ministries is a licensed child care center offering daycare programs located at 816 Earline St in Birmingham, AL. Contact this provider to inquire about prices and...",https://winnie.com/place/eternal-life-international-ministries-birmingham#daycare-program,,,https://winnie.com/place/eternal-life-international-ministries-birmingham#contact_form,Birmingham,,,6 w - 14 yr
